"location","source","target"
"app/__init__.py:444 app/templates/main_template.html:104","Never",""
"app/__init__.py:507","From",""
"app/__init__.py:508","To",""
"app/__init__.py:509","Subject",""
"app/__init__.py:510","Reply to",""
"app/__init__.py:511","From:",""
"app/__init__.py:512","To:",""
"app/__init__.py:513 app/main/forms.py:140 app/templates/components/message-count-label.html:60 app/templates/views/api/safelist.html:69 app/utils.py:198","phone number",""
"app/__init__.py:514 app/main/forms.py:138 app/main/views/user_profile.py:85 app/main/views/user_profile.py:108 app/main/views/user_profile.py:747 app/templates/components/message-count-label.html:66 app/utils.py:203","email address",""
"app/__init__.py:515","hidden",""
"app/__init__.py:552 app/main/forms.py:1662 app/main/views/templates.py:585 app/models/template_list.py:5 app/templates/views/platform-admin/api_keys_ranked.html:24 app/templates/views/templates/sample_library.html:17 app/templates/views/user-profile/2fa.html:37","Email",""
"app/__init__.py:552 app/main/forms.py:898 app/main/views/templates.py:584 app/models/template_list.py:6 app/templates/components/tiptap-editor.html:19 app/templates/views/templates/sample_library.html:18","Text message",""
"app/__init__.py:564 app/__init__.py:565 app/__init__.py:588 app/__init__.py:589 app/__init__.py:591","Blocked",""
"app/__init__.py:567 app/__init__.py:569","No such address",""
"app/__init__.py:575 app/__init__.py:576","GC Notify cannot send text messages to some international numbers",""
"app/__init__.py:577 app/__init__.py:579 app/__init__.py:584 app/__init__.py:585 app/__init__.py:590","No such number",""
"app/__init__.py:586 app/__init__.py:592","Carrier issue",""
"app/__init__.py:587","Blocked by phone carrier",""
"app/__init__.py:593 app/__init__.py:594 app/__init__.py:599","Tech issue",""
"app/__init__.py:598 app/__init__.py:612 app/templates/views/dashboard/_jobs.html:15 app/templates/views/platform-admin/services.html:42","Failed",""
"app/__init__.py:600","Content or inbox issue",""
"app/__init__.py:601","Virus in attachment",""
"app/__init__.py:603 app/__init__.py:606 app/__init__.py:617 app/templates/views/dashboard/_jobs.html:14 app/templates/views/platform-admin/services.html:41","Delivered",""
"app/__init__.py:604 app/__init__.py:605 app/__init__.py:607 app/__init__.py:608 app/__init__.py:618 app/__init__.py:619 app/__init__.py:620 app/__init__.py:621","In transit",""
"app/__init__.py:609","Exceeds Protected A",""
"app/__init__.py:646","since",""
"app/__init__.py:706","…and 0 more",""
"app/__init__.py:708","…and 1 more",""
